ProductID;ProductName
1;Кофемашина
2;Холодильник
3;Телевизор
4;Микроволновка
5;Пылесос
6;Блендер
7;Фен
8;Утюг
9;Пылесос ручной
10;Кофеварка
11;Мультиварка
12;Чайник
13;Тостер
14;Плита газовая
15;Плита электрическая
16;Духовка
17;Посудомоечная машина
18;Варочная панель
19;Вытяжка
20;Соковыжималка
21;Мясорубка
22;Хлебопечка
23;Барбекю
24;Гриль
25;Миксер
26;Кухонный комбайн
27;Морозильная камера
28;Винный шкаф
29;Бойлер
30;Кондиционер
31;Вентилятор
32;Обогреватель
33;Пылесос-робот
34;Увлажнитель воздуха
35;Диффузор
36;Массажное кресло
37;Электрочайник
38;Умные часы
39;Смартфон
40;Планшет
41;Ноутбук
42;Компьютер
43;Принтер
44;Сканер
45;Роутер
46;Монитор
47;Телевизор Smart
48;Фотоаппарат
49;Видеокамера
50;Аккумуляторная батарея